time,open,high,low,close,tick_volume,spread,real_volume
2025-04-27 22:50:00,3311.8,3312.87,3310.41,3311.02,200,12,0
2025-04-27 22:55:00,3311.02,3312.93,3310.41,3310.61,247,12,0
2025-04-27 23:00:00,3310.61,3312.41,3308.31,3312.32,464,12,0
2025-04-27 23:05:00,3312.32,3316.39,3310.83,3315.64,495,12,0
2025-04-27 23:10:00,3315.64,3318.15,3308.67,3308.69,867,12,0
2025-04-27 23:15:00,3308.69,3308.7,3303.05,3304.65,1120,12,0
2025-04-27 23:20:00,3304.65,3305.88,3300.26,3305.26,653,12,0
2025-04-27 23:25:00,3305.26,3311.4,3305.23,3307.9,792,12,0
2025-04-27 23:30:00,3307.9,3308.77,3305.62,3307.26,498,12,0
2025-04-27 23:35:00,3307.26,3308.5,3305.03,3307.9,314,12,0
2025-04-27 23:40:00,3307.9,3308.32,3305.75,3306.1,303,12,0
2025-04-27 23:45:00,3306.1,3306.48,3300.39,3302.05,627,12,0
2025-04-27 23:50:00,3302.05,3302.76,3299.25,3302.35,597,12,0
2025-04-27 23:55:00,3302.35,3303.43,3298.55,3302.68,734,12,0
2025-04-28 00:00:00,3302.66,3308.31,3301.74,3308.16,950,12,0
2025-04-28 00:05:00,3308.16,3313.7,3307.46,3309.61,966,12,0
2025-04-28 00:10:00,3310.37,3311.2,3305.09,3307.25,938,12,0
2025-04-28 00:15:00,3307.25,3311.56,3306.59,3307.27,584,12,0
2025-04-28 00:20:00,3307.27,3309.09,3306.26,3307.89,410,12,0
2025-04-28 00:25:00,3307.89,3311.03,3305.5,3311.03,537,12,0
2025-04-28 00:30:00,3311.15,3313.27,3310.55,3311.12,514,12,0
2025-04-28 00:35:00,3311.05,3311.91,3308.96,3310.57,435,12,0
2025-04-28 00:40:00,3310.57,3312.42,3307.77,3308.55,497,12,0
2025-04-28 00:45:00,3308.55,3313.54,3308.55,3312.51,470,12,0
2025-04-28 00:50:00,3312.51,3315.93,3311.59,3313.79,822,12,0
2025-04-28 00:55:00,3313.79,3315.55,3311.96,3314.01,722,12,0
2025-04-28 01:00:00,3314.01,3315.01,3309.46,3310.64,1538,12,0
2025-04-28 01:05:00,3310.6,3311.3,3305.46,3308.87,1145,12,0
2025-04-28 01:10:00,3308.94,3312.09,3306.13,3307.08,755,12,0
2025-04-28 01:15:00,3307.08,3308.02,3301.23,3301.85,1263,12,0
2025-04-28 01:20:00,3301.85,3303.75,3295.26,3295.26,1099,12,0
2025-04-28 01:25:00,3295.32,3295.99,3290.09,3291.08,1339,12,0
2025-04-28 01:30:00,3291.08,3291.14,3282.82,3288.93,1755,12,0
2025-04-28 01:35:00,3288.96,3290.93,3284.21,3284.61,1159,12,0
2025-04-28 01:40:00,3284.66,3286.97,3279.04,3285.91,1728,12,0
2025-04-28 01:45:00,3285.91,3291.06,3285.83,3286.77,1095,12,0
2025-04-28 01:50:00,3286.77,3291.26,3286.34,3287.56,1004,12,0
2025-04-28 01:55:00,3287.56,3288.46,3279.33,3280.89,869,12,0
2025-04-28 02:00:00,3280.92,3283.45,3271.24,3275.73,1428,12,0
2025-04-28 02:05:00,3275.73,3279.18,3271.54,3272.68,1326,12,0
2025-04-28 02:10:00,3272.68,3273.29,3267.9,3271.11,1257,12,0
2025-04-28 02:15:00,3271.11,3275.15,3269.07,3273.18,909,12,0
2025-04-28 02:20:00,3273.18,3276.24,3271.32,3274.62,708,12,0
2025-04-28 02:25:00,3274.62,3275.79,3273.09,3274.69,449,12,0
2025-04-28 02:30:00,3274.69,3278.77,3272.1,3276.62,1312,12,0
2025-04-28 02:35:00,3276.87,3280.74,3276.47,3279.23,1035,12,0
2025-04-28 02:40:00,3279.23,3283.29,3279.09,3280.11,826,12,0
2025-04-28 02:45:00,3280.11,3286.3,3279.7,3284.26,791,12,0
2025-04-28 02:50:00,3284.23,3286.49,3282.77,3283.28,698,12,0
2025-04-28 02:55:00,3283.28,3283.3,3280.77,3280.77,560,12,0
